fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1989,300,Natural Resources and Environment,301,Water resources,445690,1143743,4271,1664.320835,0.373425662,0.37342305,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,300,Natural Resources and Environment,302,Conservation and land management,445690,1143743,3792,1477.664389,0.331545332,0.331543013,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,300,Natural Resources and Environment,303,Recreational resources,445690,1143743,1336,520.611715,0.116810275,0.116809458,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,300,Natural Resources and Environment,304,Pollution control and abatement,445690,1143743,4878,1900.856247,0.426497397,0.426494414,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,300,Natural Resources and Environment,306,Other natural resources,445690,1143743,1890,736.494118,0.165248069,0.165246913,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,350,Agriculture,351,Farm income stabilization,445690,1143743,14699,5727.897905,1.285175325,1.285166335,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,350,Agriculture,352,Agricultural research and services,445690,1143743,1999,778.969176,0.174778248,0.174777026,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,370,Commerce and Housing Credit,371,Mortgage credit,445690,1143743,4978,1939.82419,0.435240681,0.435237636,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,370,Commerce and Housing Credit,372,Postal service,445690,1143743,127,49.489287,0.011103971,0.011103893,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,370,Commerce and Housing Credit,373,Deposit insurance,445690,1143743,21996,8571.388687,1.923172763,1.923159311,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,370,Commerce and Housing Credit,376,Other advancement of commerce,445690,1143743,2608,1016.283947,0.228024848,0.228023253,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,400,Transportation,401,Ground transportation,445690,1143743,17946,6993.187006,1.569069758,1.569058783,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,400,Transportation,402,Air transportation,445690,1143743,6622,2580.457169,0.578980271,0.578976221,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,400,Transportation,403,Water transportation,445690,1143743,2916,1136.305211,0.254954163,0.25495238,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,400,Transportation,407,Other transportation,445690,1143743,124,48.320249,0.010841672,0.010841596,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,450,Community and Regional Development,451,Community development,445690,1143743,3693,1439.086126,0.322889481,0.322887222,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,450,Community and Regional Development,452,Area and regional development,445690,1143743,1894,738.052836,0.1655978,0.165596642,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,450,Community and Regional Development,453,Disaster relief and insurance,445690,1143743,-226,-88.067551,-0.019759822,-0.019759684,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",445690,1143743,9150,3565.566762,0.800010492,0.800004896,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,500,"Education, Training, Employment, and Social Services",502,Higher education,445690,1143743,10573,4120.080587,0.924427424,0.924420958,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,445690,1143743,1507,587.246897,0.131761291,0.131760369,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,500,"Education, Training, Employment, and Social Services",504,Training and employment,445690,1143743,5292,2062.18353,0.462694593,0.462691356,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,500,"Education, Training, Employment, and Social Services",505,Other labor services,445690,1143743,786,306.28803,0.068722213,0.068721732,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,500,"Education, Training, Employment, and Social Services",506,Social services,445690,1143743,8007,3120.163176,0.700074755,0.700069858,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,550,Health,551,Health care services,445690,1143743,39158,15259.067022,3.423695174,3.423671227,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,550,Health,552,Health research and training,445690,1143743,7875,3068.725491,0.68853362,0.688528804,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,550,Health,554,Consumer and occupational health and safety,445690,1143743,1356,528.405304,0.118558932,0.118558103,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,570,Medicare,571,Medicare,445690,1143743,84964,33108.722877,7.428643873,7.428591913,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,600,Income Security,601,General retirement and disability insurance (excluding social security),445690,1143743,5650,2201.688765,0.49399555,0.493992094,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,600,Income Security,602,Federal employee retirement and disability,445690,1143743,49167,19159.368411,4.298810476,4.298780408,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,600,Income Security,603,Unemployment compensation,445690,1143743,15616,6085.23394,1.36535124,1.36534169,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,600,Income Security,604,Housing assistance,445690,1143743,14717,5734.912134,1.286749116,1.286740116,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,600,Income Security,605,Food and nutrition assistance,445690,1143743,21353,8320.824815,1.866953446,1.866940388,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,600,Income Security,609,Other income security,445690,1143743,31050,12099.546224,2.714789702,2.714770713,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,650,Social Security,651,Social security,445690,1143743,232542,90616.833427,20.33180763,20.331665418,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,700,Veterans Benefits and Services,701,Income security for veterans,445690,1143743,16597,6467.509458,1.451122856,1.451112706,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",445690,1143743,426,166.003436,0.03724639,0.03724613,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,445690,1143743,11342,4419.744067,0.991663279,0.991656342,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,700,Veterans Benefits and Services,704,Veterans housing,445690,1143743,892,347.594049,0.077990094,0.077989548,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,700,Veterans Benefits and Services,705,Other veterans benefits and services,445690,1143743,780,303.949953,0.068197616,0.068197139,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,750,Administration of Justice,751,Federal law enforcement activities,445690,1143743,4889,1905.142721,0.427459158,0.427456168,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,750,Administration of Justice,752,Federal litigative and judicial activities,445690,1143743,3255,1268.406536,0.284593896,0.284591906,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,750,Administration of Justice,753,Federal correctional activities,445690,1143743,1044,406.825322,0.091279886,0.091279247,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,750,Administration of Justice,754,Criminal justice assistance,445690,1143743,455,177.30414,0.039781942,0.039781664,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,801,Legislative functions,445690,1143743,1776,692.070663,0.155280725,0.155279639,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,802,Executive direction and management,445690,1143743,129,50.268646,0.011278836,0.011278758,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,803,Central fiscal operations,445690,1143743,5734,2234.421837,0.501339908,0.501336402,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,804,General property and records management,445690,1143743,-432,-168.341513,-0.037770987,-0.037770723,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,805,Central personnel management,445690,1143743,139,54.16544,0.012153165,0.01215308,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,806,General purpose fiscal assistance,445690,1143743,2061,803.1293,0.180199085,0.180197824,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,808,Other general government,445690,1143743,803,312.91258,0.070208571,0.07020808,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,800,General Government,809,Deductions for offsetting receipts,445690,1143743,-893,-347.983729,-0.078077527,-0.078076981,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,900,Net Interest,901,Interest on Treasury debt securities (gross),445690,1143743,240845,93852.341714,21.057762506,21.057615216,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,900,Net Interest,902,Interest received by on-budget trust funds,445690,1143743,-40467,-15769.157392,-3.538144763,-3.538120015,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,900,Net Interest,903,Interest received by off-budget trust funds,445690,1143743,-11395,-4440.397076,-0.996297219,-0.996290251,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,900,Net Interest,908,Other interest,445690,1143743,-20003,-7794.757588,-1.748919112,-1.748906879,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",445690,1143743,-29425,-11466.317154,-2.572711336,-2.572693341,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",445690,1143743,-4858,-1893.062659,-0.42474874,-0.424745769,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,445690,1143743,-2929,-1141.371043,-0.25609079,-0.256088999,proportional_outlay_share,modeled_not_legal_dedication,actual
1990,050,National Defense,051,Department of Defense-Military,466884,1252993,289694,107944.332886,23.120161086,23.120161086,proportional_outlay_share,modeled_not_legal_dedication,actual
1990,050,National Defense,053,Atomic energy defense activities,466884,1252993,8988,3349.063715,0.717322443,0.717322443,proportional_outlay_share,modeled_not_legal_dedication,actual
1990,050,National Defense,054,Defense-related activities,466884,1252993,639,238.100992,0.050997891,0.050997891,proportional_outlay_share,modeled_not_legal_dedication,actual
1990,150,International Affairs,151,International development and humanitarian assistance,466884,1252993,5498,2048.637328,0.438789363,0.438789363,proportional_outlay_share,modeled_not_legal_dedication,actual
1990,150,International Affairs,152,International security assistance,466884,1252993,8652,3223.865072,0.690506651,0.690506651,proportional_outlay_share,modeled_not_legal_dedication,actual
1990,150,International Affairs,153,Conduct of foreign affairs,466884,1252993,3045,1134.612707,0.243018117,0.243018117,proportional_outlay_share,modeled_not_legal_dedication,actual
